"","","","","","",""
"2038035","HORNSBY","25/10/2023","8:10 AM","63","567","Third party"
"2038075","WILLOUGHBY","25/10/2023","10:10 AM","239","63","Equipment fault"
"2038086","SYDNEY","25/10/2023","12:10 PM","96","514","Third party"
"2038195","MANLY","25/10/2023","21:10 PM","80","86","Environmental"
"2038197","PORT STEPHENS","26/10/2023","0:10 AM","1655","99","Equipment fault"
"2038222","WYONG","26/10/2023","7:10 AM","772","13","Environmental"
"2038271","BANKSTOWN","26/10/2023","10:10 AM","53","258","Third party"
"2038343","WOOLLAHRA","26/10/2023","14:10 PM","53","63","Environmental"
"2038401","HURSTVILLE","26/10/2023","17:10 PM","71","159","Environmental"
"2038426","CANTERBURY","26/10/2023","21:10 PM","1525","67","Environmental"
"2038437","GOSFORD","27/10/2023","0:10 AM","1519","92","Environmental"
"2038483","SOUTH SYDNEY","27/10/2023","8:10 AM","61","172","Environmental"
"2038436","CANTERBURY","27/10/2023","9:10 AM","84","56","Environmental"
"2038500","SUTHERLAND","27/10/2023","9:10 AM","59","135","Environmental"
"2038503","WOOLLAHRA","27/10/2023","9:10 AM","53","224","Environmental"
"2038516","GOSFORD","27/10/2023","10:10 AM","853","100","Environmental"
"2038528","GOSFORD","27/10/2023","11:10 AM","54","318","Environmental"
"2038587","GOSFORD","27/10/2023","14:10 PM","1296","25","Environmental"
"2038585","PORT STEPHENS","27/10/2023","15:10 PM","79","205","Equipment fault"
"2038590","RANDWICK","27/10/2023","15:10 PM","84","180","Environmental"
"2038652","WYONG","27/10/2023","19:10 PM","103","150","Environmental"
"2038675","RYDE","28/10/2023","1:10 AM","242","60","Equipment fault"
"2038725","SOUTH SYDNEY","28/10/2023","12:10 PM","93","460","Equipment fault"
"2038687","SUTHERLAND","28/10/2023","15:10 PM","61","133","Equipment fault"
"2038775","WARRINGAH","28/10/2023","18:10 PM","70","45","Equipment fault"
"2038781","MARRICKVILLE","28/10/2023","19:10 PM","83","96","Equipment fault"
"2038834","WYONG","29/10/2023","15:10 PM","52","75","Equipment fault"
"2038850","RYDE","29/10/2023","17:10 PM","66","449","Equipment fault"
"2038876","GOSFORD","30/10/2023","2:10 AM","606","137","Environmental"
"2038907","WAVERLEY","30/10/2023","8:10 AM","67","20","Environmental"
"2039047","GOSFORD","30/10/2023","16:10 PM","169","1,104","Environmental"
"2039092","SUTHERLAND","31/10/2023","3:10 AM","58","278","Environmental"
"2039093","SUTHERLAND","31/10/2023","3:10 AM","59","231","Environmental"
"2041164","HURSTVILLE","31/10/2023","4:10 AM","586","726","Environmental"
"2039104","HURSTVILLE","31/10/2023","4:10 AM","1113","344","Equipment fault"
"2039105","ROCKDALE","31/10/2023","4:10 AM","65","585","Environmental"
"2039118","SUTHERLAND","31/10/2023","4:10 AM","876","159","Environmental"
"2039163","HURSTVILLE","31/10/2023","7:10 AM","204","307","Equipment fault"
"2039172","SUTHERLAND","31/10/2023","7:10 AM","62","386","Environmental"
"2039150","SUTHERLAND","31/10/2023","7:10 AM","66","145","Environmental"
"2039278","ROCKDALE","31/10/2023","11:10 AM","94","343","Equipment fault"
"2039283","WYONG","31/10/2023","11:10 AM","120","302","Equipment fault"
"2039288","BANKSTOWN","31/10/2023","11:10 AM","67","89","Environmental"
"2039299","LEICHHARDT","31/10/2023","12:10 PM","100","95","Environmental"
"2039305","SOUTH SYDNEY","31/10/2023","12:10 PM","1700","56","Cable dig"
"2039392","KU-RING-GAI","31/10/2023","16:10 PM","890","42","Environmental"
"2039625","MAITLAND","1/11/2023","16:11 PM","57","176","Equipment fault"
"2039654","PITTWATER","1/11/2023","18:11 PM","89","46","Equipment fault"
"2039658","HURSTVILLE","1/11/2023","19:11 PM","2217","61","Equipment fault"
"2039669","WYONG","1/11/2023","20:11 PM","107","5","Environmental"
"2039666","HORNSBY","1/11/2023","20:11 PM","101","44","Environmental"
"2039722","SOUTH SYDNEY","2/11/2023","10:11 AM","67","858","Cable dig"
"2039697","WYONG","2/11/2023","11:11 AM","168","45","Environmental"
"2039760","SUTHERLAND","2/11/2023","12:11 PM","55","164","Environmental"
"2039820","MARRICKVILLE","2/11/2023","15:11 PM","61","45","Equipment fault"
